Город	Возраст	Численность населения	Год
Санкт-Петербург	61-80	59	1806
Санкт-Петербург	80-100	86	1806
Санкт-Петербург	101+	22	1806
Новосибирск	0-3	71	1806
Новосибирск	3-7	41	1806
Новосибирск	8-14	38	1806
Новосибирск	15-18	38	1806
Новосибирск	18-25	49	1806
Новосибирск	26-35	55	1806
Новосибирск	36-45	32	1806
Новосибирск	46-60	61	1806
Новосибирск	61-80	39	1806
Новосибирск	80-100	18	1806
Новосибирск	101+	54	1806
Екатеринбург	0-3	69	1806
Екатеринбург	3-7	47	1806
Екатеринбург	8-14	99	1806
Екатеринбург	15-18	77	1806
Екатеринбург	18-25	93	1806
Екатеринбург	26-35	49	1806
Екатеринбург	36-45	40	1806
Екатеринбург	46-60	99	1806
Екатеринбург	61-80	85	1806
Екатеринбург	80-100	98	1806
Екатеринбург	101+	46	1806
Казань	0-3	29	1806
Казань	3-7	86	1806
Казань	8-14	87	1806
Казань	15-18	60	1806
Казань	18-25	45	1806
Казань	26-35	92	1806
Казань	36-45	21	1806
Казань	46-60	10	1806
Казань	61-80	30	1806
Казань	80-100	25	1806
Казань	101+	21	1806
Нижний Новгород	0-3	23	1806
Нижний Новгород	3-7	25	1806
Нижний Новгород	8-14	47	1806
Нижний Новгород	15-18	82	1806
Нижний Новгород	18-25	64	1806
Нижний Новгород	26-35	73	1806
Нижний Новгород	36-45	82	1806
Нижний Новгород	46-60	21	1806
Нижний Новгород	61-80	98	1806
Нижний Новгород	80-100	91	1806
Нижний Новгород	101+	11	1806
Челябинск	0-3	91	1806
Челябинск	3-7	92	1806
Челябинск	8-14	97	1806
Челябинск	15-18	89	1806
Челябинск	18-25	63	1806
Челябинск	26-35	26	1806
Челябинск	36-45	33	1806
Челябинск	46-60	70	1806
Челябинск	61-80	63	1806
Челябинск	80-100	29	1806
Челябинск	101+	99	1806
Самара	0-3	42	1806
Самара	3-7	69	1806
Самара	8-14	66	1806
Самара	15-18	40	1806
Самара	18-25	56	1806
Самара	26-35	92	1806
Самара	36-45	15	1806
Самара	46-60	56	1806
Самара	61-80	36	1806
Самара	80-100	95	1806
Самара	101+	88	1806
Омск	0-3	30	1806
Омск	3-7	33	1806
Омск	8-14	45	1806
Омск	15-18	19	1806
Омск	18-25	28	1806
Омск	26-35	59	1806
Омск	36-45	71	1806
Омск	46-60	71	1806
Омск	61-80	87	1806
Омск	80-100	28	1806
Омск	101+	50	1806
Ростов-на-Дону	0-3	29	1806
Ростов-на-Дону	3-7	35	1806
Ростов-на-Дону	8-14	65	1806
Ростов-на-Дону	15-18	68	1806
Ростов-на-Дону	18-25	37	1806
Ростов-на-Дону	26-35	34	1806
Ростов-на-Дону	36-45	11	1806
Ростов-на-Дону	46-60	79	1806
Ростов-на-Дону	61-80	23	1806
Ростов-на-Дону	80-100	92	1806
Ростов-на-Дону	101+	41	1806
Уфа	0-3	23	1806
Уфа	3-7	39	1806
Уфа	8-14	36	1806
Уфа	15-18	25	1806
Уфа	18-25	90	1806
Уфа	26-35	56	1806
Уфа	36-45	59	1806
Уфа	46-60	53	1806
Уфа	61-80	26	1806
Уфа	80-100	89	1806
Уфа	101+	71	1806
Красноярск	0-3	41	1806
Красноярск	3-7	10	1806
Красноярск	8-14	48	1806
Красноярск	15-18	53	1806
Красноярск	18-25	53	1806
Красноярск	26-35	77	1806
Красноярск	36-45	89	1806
Красноярск	46-60	48	1806
Красноярск	61-80	64	1806
Красноярск	80-100	75	1806
Красноярск	101+	83	1806
Москва	0-3	39	1809
Москва	3-7	55	1809
Москва	8-14	21	1809
Москва	15-18	40	1809
Москва	18-25	45	1809
Москва	26-35	21	1809
Москва	36-45	30	1809
Москва	46-60	14	1809
Москва	61-80	89	1809
Москва	80-100	30	1809
Москва	101+	58	1809
Санкт-Петербург	0-3	85	1809
Санкт-Петербург	3-7	98	1809
Санкт-Петербург	8-14	29	1809
Санкт-Петербург	15-18	73	1809
Санкт-Петербург	18-25	35	1809
Санкт-Петербург	26-35	39	1809
Санкт-Петербург	36-45	65	1809
Санкт-Петербург	46-60	86	1809
Санкт-Петербург	61-80	80	1809
Санкт-Петербург	80-100	98	1809
Санкт-Петербург	101+	55	1809
Новосибирск	0-3	40	1809
Новосибирск	3-7	61	1809
Новосибирск	8-14	58	1809
Новосибирск	15-18	48	1809
Новосибирск	18-25	55	1809
Новосибирск	26-35	55	1809
Новосибирск	36-45	62	1809
Новосибирск	46-60	31	1809
Новосибирск	61-80	25	1809
Новосибирск	80-100	67	1809
Новосибирск	101+	26	1809
Екатеринбург	0-3	50	1809
Екатеринбург	3-7	91	1809
Екатеринбург	8-14	65	1809
Екатеринбург	15-18	56	1809
Екатеринбург	18-25	75	1809
Екатеринбург	26-35	83	1809
Екатеринбург	36-45	44	1809
Екатеринбург	46-60	95	1809
Екатеринбург	61-80	77	1809
Екатеринбург	80-100	87	1809
Екатеринбург	101+	71	1809
Казань	0-3	52	1809
Казань	3-7	33	1809
Казань	8-14	73	1809
Казань	15-18	73	1809
Казань	18-25	68	1809
Казань	26-35	25	1809
Казань	36-45	74	1809
Казань	46-60	94	1809
Казань	61-80	89	1809
Казань	80-100	47	1809
Казань	101+	46	1809
Нижний Новгород	0-3	16	1809
Нижний Новгород	3-7	21	1809
Нижний Новгород	8-14	11	1809
Нижний Новгород	15-18	93	1809
Нижний Новгород	18-25	70	1809
Нижний Новгород	26-35	54	1809
Нижний Новгород	36-45	45	1809
Нижний Новгород	46-60	65	1809
Нижний Новгород	61-80	15	1809
Нижний Новгород	80-100	25	1809
Нижний Новгород	101+	61	1809
Челябинск	0-3	72	1809
Челябинск	3-7	51	1809
Челябинск	8-14	67	1809
Челябинск	15-18	77	1809
Челябинск	18-25	16	1809
Челябинск	26-35	83	1809
Челябинск	36-45	95	1809
Челябинск	46-60	50	1809
Челябинск	61-80	15	1809
Челябинск	80-100	21	1809
Челябинск	101+	59	1809
Самара	0-3	67	1809
Самара	3-7	66	1809
Самара	8-14	53	1809
Самара	15-18	44	1809
Самара	18-25	72	1809
Самара	26-35	49	1809
Самара	36-45	30	1809
Самара	46-60	51	1809
Самара	61-80	89	1809
Самара	80-100	49	1809
Самара	101+	67	1809
Омск	0-3	49	1809
Омск	3-7	29	1809
Омск	8-14	93	1809
Омск	15-18	30	1809
Омск	18-25	18	1809
Омск	26-35	65	1809
Омск	36-45	71	1809
Омск	46-60	46	1809
Омск	61-80	34	1809
Омск	80-100	49	1809
Омск	101+	98	1809
Ростов-на-Дону	0-3	56	1809
Ростов-на-Дону	3-7	17	1809
Ростов-на-Дону	8-14	49	1809
Ростов-на-Дону	15-18	22	1809
Ростов-на-Дону	18-25	25	1809
Ростов-на-Дону	26-35	51	1809
Ростов-на-Дону	36-45	88	1809
Ростов-на-Дону	46-60	98	1809
Ростов-на-Дону	61-80	53	1809
Ростов-на-Дону	80-100	67	1809
Ростов-на-Дону	101+	28	1809
Уфа	0-3	12	1809
Уфа	3-7	54	1809
Уфа	8-14	26	1809
Уфа	15-18	15	1809
Уфа	18-25	17	1809
Уфа	26-35	64	1809
Уфа	36-45	71	1809
Уфа	46-60	49	1809
Уфа	61-80	68	1809
Уфа	80-100	94	1809
Уфа	101+	45	1809
Красноярск	0-3	26	1809
Красноярск	3-7	58	1809
Красноярск	8-14	78	1809
Красноярск	15-18	17	1809
Красноярск	18-25	26	1809
Красноярск	26-35	41	1809
Красноярск	36-45	27	1809
Красноярск	46-60	70	1809
Красноярск	61-80	94	1809
Красноярск	80-100	25	1809
Красноярск	101+	24	1809
Москва	0-3	48	1812
Москва	3-7	19	1812
Москва	8-14	40	1812
Москва	15-18	38	1812
Москва	18-25	56	1812
Москва	26-35	25	1812
Москва	36-45	95	1812
Москва	46-60	80	1812
Москва	61-80	55	1812
Москва	80-100	74	1812
Москва	101+	43	1812
Санкт-Петербург	0-3	68	1812
Санкт-Петербург	3-7	43	1812
Санкт-Петербург	8-14	25	1812
Санкт-Петербург	15-18	35	1812
Санкт-Петербург	18-25	66	1812
Санкт-Петербург	26-35	25	1812
Санкт-Петербург	36-45	23	1812
Санкт-Петербург	46-60	60	1812
Санкт-Петербург	61-80	37	1812
Санкт-Петербург	80-100	96	1812
Санкт-Петербург	101+	45	1812
Новосибирск	0-3	23	1812
Новосибирск	3-7	94	1812
Новосибирск	8-14	82	1812
Новосибирск	15-18	18	1812
Новосибирск	18-25	100	1812
Новосибирск	26-35	41	1812
Новосибирск	36-45	58	1812
Новосибирск	46-60	61	1812
Новосибирск	61-80	75	1812
Новосибирск	80-100	31	1812
Новосибирск	101+	59	1812
Екатеринбург	0-3	80	1812
Екатеринбург	3-7	53	1812
Екатеринбург	8-14	69	1812
Екатеринбург	15-18	87	1812
Екатеринбург	18-25	81	1812
Екатеринбург	26-35	69	1812
Екатеринбург	36-45	18	1812
Екатеринбург	46-60	94	1812
Екатеринбург	61-80	18	1812
Екатеринбург	80-100	17	1812
Екатеринбург	101+	62	1812
Казань	0-3	58	1812
Казань	3-7	52	1812
Казань	8-14	67	1812
Казань	15-18	27	1812
Казань	18-25	49	1812
Казань	26-35	79	1812
Казань	36-45	74	1812
Казань	46-60	58	1812
Казань	61-80	50	1812
Казань	80-100	36	1812
Казань	101+	27	1812
Нижний Новгород	0-3	44	1812
Нижний Новгород	3-7	22	1812
Нижний Новгород	8-14	12	1812
Нижний Новгород	15-18	55	1812
Нижний Новгород	18-25	52	1812
Нижний Новгород	26-35	10	1812
Нижний Новгород	36-45	29	1812
Нижний Новгород	46-60	73	1812
Нижний Новгород	61-80	55	1812
Нижний Новгород	80-100	63	1812
Нижний Новгород	101+	77	1812
Челябинск	0-3	70	1812
Челябинск	3-7	19	1812
Челябинск	8-14	57	1812
Челябинск	15-18	10	1812
Челябинск	18-25	66	1812
Челябинск	26-35	29	1812
Челябинск	36-45	100	1812
Челябинск	46-60	25	1812
Челябинск	61-80	15	1812
Челябинск	80-100	59	1812
Челябинск	101+	51	1812
Самара	0-3	55	1812
Самара	3-7	19	1812
Самара	8-14	54	1812
Самара	15-18	94	1812
Самара	18-25	25	1812
Самара	26-35	52	1812
Самара	36-45	43	1812
Самара	46-60	21	1812
Самара	61-80	71	1812
Самара	80-100	17	1812
Самара	101+	55	1812
Омск	0-3	83	1812
Омск	3-7	36	1812
Омск	8-14	98	1812
Омск	15-18	45	1812
Омск	18-25	97	1812
Омск	26-35	99	1812
Омск	36-45	67	1812
Омск	46-60	11	1812
Омск	61-80	76	1812
Омск	80-100	64	1812
Омск	101+	50	1812
Ростов-на-Дону	0-3	28	1812
Ростов-на-Дону	3-7	20	1812
Ростов-на-Дону	8-14	100	1812
Ростов-на-Дону	15-18	36	1812
Ростов-на-Дону	18-25	37	1812
Ростов-на-Дону	26-35	98	1812
Ростов-на-Дону	36-45	71	1812
Ростов-на-Дону	46-60	32	1812
Ростов-на-Дону	61-80	50	1812
Ростов-на-Дону	80-100	37	1812
Ростов-на-Дону	101+	56	1812
Уфа	0-3	56	1812
Уфа	3-7	84	1812
Уфа	8-14	31	1812
Уфа	15-18	26	1812
Уфа	18-25	56	1812
Уфа	26-35	21	1812
Уфа	36-45	28	1812
Уфа	46-60	30	1812
Уфа	61-80	78	1812
Уфа	80-100	32	1812
Уфа	101+	91	1812
Красноярск	0-3	85	1812
Красноярск	3-7	90	1812
Красноярск	8-14	74	1812
Красноярск	15-18	67	1812
Красноярск	18-25	63	1812
Красноярск	26-35	98	1812
Красноярск	36-45	23	1812
Красноярск	46-60	82	1812
Красноярск	61-80	51	1812
Красноярск	80-100	26	1812
Красноярск	101+	23	1812
Москва	0-3	18	1815
Москва	3-7	92	1815
Москва	8-14	19	1815
Москва	15-18	88	1815
Москва	18-25	66	1815
Москва	26-35	14	1815
Москва	36-45	80	1815
Москва	46-60	43	1815
Москва	61-80	66	1815
Москва	80-100	57	1815
Москва	101+	19	1815
Санкт-Петербург	0-3	59	1815
Санкт-Петербург	3-7	56	1815
Санкт-Петербург	8-14	47	1815
Санкт-Петербург	15-18	55	1815
Санкт-Петербург	18-25	88	1815
Санкт-Петербург	26-35	48	1815
Санкт-Петербург	36-45	79	1815
Санкт-Петербург	46-60	40	1815
Санкт-Петербург	61-80	94	1815
Санкт-Петербург	80-100	74	1815
Санкт-Петербург	101+	23	1815
Новосибирск	0-3	18	1815
Новосибирск	3-7	56	1815
Новосибирск	8-14	60	1815
Новосибирск	15-18	81	1815
Новосибирск	18-25	30	1815
Новосибирск	26-35	51	1815
Новосибирск	36-45	42	1815
Новосибирск	46-60	66	1815
Новосибирск	61-80	42	1815
Новосибирск	80-100	27	1815
Новосибирск	101+	97	1815
Екатеринбург	0-3	16	1815
Екатеринбург	3-7	78	1815
Екатеринбург	8-14	29	1815
Екатеринбург	15-18	12	1815
Екатеринбург	18-25	68	1815
Екатеринбург	26-35	62	1815
Екатеринбург	36-45	56	1815
Екатеринбург	46-60	25	1815
Екатеринбург	61-80	34	1815
Екатеринбург	80-100	47	1815
Екатеринбург	101+	100	1815
Казань	0-3	42	1815
Казань	3-7	32	1815
Казань	8-14	38	1815
Казань	15-18	32	1815
Казань	18-25	76	1815
Казань	26-35	81	1815
Казань	36-45	14	1815
Казань	46-60	96	1815
Казань	61-80	86	1815
Казань	80-100	79	1815
Казань	101+	29	1815
Нижний Новгород	0-3	65	1815
Нижний Новгород	3-7	63	1815
Нижний Новгород	8-14	64	1815
Нижний Новгород	15-18	28	1815
Нижний Новгород	18-25	30	1815
Нижний Новгород	26-35	57	1815
Нижний Новгород	36-45	31	1815
Нижний Новгород	46-60	48	1815
Нижний Новгород	61-80	71	1815
Нижний Новгород	80-100	32	1815
Нижний Новгород	101+	40	1815
Челябинск	0-3	19	1815
Челябинск	3-7	11	1815
Челябинск	8-14	21	1815
Челябинск	15-18	61	1815
Челябинск	18-25	43	1815
Челябинск	26-35	16	1815
Челябинск	36-45	45	1815
Челябинск	46-60	30	1815
Челябинск	61-80	69	1815
Челябинск	80-100	88	1815
Челябинск	101+	30	1815
Самара	0-3	56	1815
Самара	3-7	89	1815
Самара	8-14	74	1815
Самара	15-18	54	1815
Самара	18-25	21	1815
Самара	26-35	100	1815
Самара	36-45	84	1815
Самара	46-60	78	1815
Самара	61-80	83	1815
Самара	80-100	10	1815
Самара	101+	14	1815
Омск	0-3	78	1815
Омск	3-7	59	1815
Омск	8-14	30	1815
Омск	15-18	96	1815
Омск	18-25	47	1815
Омск	26-35	80	1815
Омск	36-45	80	1815
Омск	46-60	67	1815
Омск	61-80	21	1815
Омск	80-100	33	1815
Омск	101+	41	1815
Ростов-на-Дону	0-3	34	1815
Ростов-на-Дону	3-7	51	1815
Ростов-на-Дону	8-14	35	1815
Ростов-на-Дону	15-18	32	1815
Ростов-на-Дону	18-25	76	1815
Ростов-на-Дону	26-35	94	1815
Ростов-на-Дону	36-45	89	1815
Ростов-на-Дону	46-60	94	1815
Ростов-на-Дону	61-80	92	1815
Ростов-на-Дону	80-100	55	1815
Ростов-на-Дону	101+	75	1815
Уфа	0-3	92	1815
Уфа	3-7	35	1815
Уфа	8-14	62	1815
Уфа	15-18	49	1815
Уфа	18-25	19	1815
Уфа	26-35	34	1815
Уфа	36-45	19	1815
Уфа	46-60	94	1815
Уфа	61-80	74	1815
Уфа	80-100	78	1815
Уфа	101+	92	1815
Красноярск	0-3	94	1815
Красноярск	3-7	54	1815
Красноярск	8-14	83	1815
Красноярск	15-18	31	1815
Красноярск	18-25	84	1815
Красноярск	26-35	39	1815
Красноярск	36-45	69	1815
Красноярск	46-60	57	1815
Красноярск	61-80	18	1815
Красноярск	80-100	13	1815
Красноярск	101+	33	1815
Москва	0-3	71	1818
Москва	3-7	51	1818
Москва	8-14	10	1818
Москва	15-18	22	1818
Москва	18-25	44	1818
Москва	26-35	93	1818
Москва	36-45	87	1818
Москва	46-60	32	1818
Москва	61-80	63	1818
Москва	80-100	19	1818
Москва	101+	67	1818
Санкт-Петербург	0-3	56	1818
Санкт-Петербург	3-7	14	1818
Санкт-Петербург	8-14	58	1818
Санкт-Петербург	15-18	66	1818
Санкт-Петербург	18-25	95	1818
Санкт-Петербург	26-35	86	1818
Санкт-Петербург	36-45	90	1818
Санкт-Петербург	46-60	60	1818
Санкт-Петербург	61-80	38	1818
Санкт-Петербург	80-100	34	1818
Санкт-Петербург	101+	57	1818
Новосибирск	0-3	86	1818
Новосибирск	3-7	67	1818
Новосибирск	8-14	12	1818
Новосибирск	15-18	18	1818
Новосибирск	18-25	71	1818
Новосибирск	26-35	83	1818
Новосибирск	36-45	85	1818
Новосибирск	46-60	21	1818
Новосибирск	61-80	63	1818
Новосибирск	80-100	54	1818
Новосибирск	101+	63	1818
Екатеринбург	0-3	11	1818
Екатеринбург	3-7	83	1818
Екатеринбург	8-14	47	1818
Екатеринбург	15-18	59	1818
Екатеринбург	18-25	71	1818
Екатеринбург	26-35	14	1818
Екатеринбург	36-45	21	1818
Екатеринбург	46-60	84	1818
Екатеринбург	61-80	37	1818
Екатеринбург	80-100	39	1818
Екатеринбург	101+	48	1818
Казань	0-3	62	1818
Казань	3-7	92	1818
Казань	8-14	81	1818
Казань	15-18	32	1818
Казань	18-25	85	1818
Казань	26-35	79	1818
Казань	36-45	45	1818
Казань	46-60	81	1818
Казань	61-80	36	1818
Казань	80-100	88	1818
Казань	101+	48	1818
Нижний Новгород	0-3	21	1818
Нижний Новгород	3-7	29	1818
Нижний Новгород	8-14	79	1818
Нижний Новгород	15-18	87	1818
Нижний Новгород	18-25	49	1818
Нижний Новгород	26-35	37	1818
Нижний Новгород	36-45	52	1818
Нижний Новгород	46-60	19	1818
Нижний Новгород	61-80	27	1818
Нижний Новгород	80-100	80	1818
Нижний Новгород	101+	51	1818
Челябинск	0-3	50	1818
Челябинск	3-7	31	1818
Челябинск	8-14	15	1818
Челябинск	15-18	75	1818
Челябинск	18-25	67	1818
Челябинск	26-35	89	1818
Челябинск	36-45	81	1818
Челябинск	46-60	44	1818
Челябинск	61-80	95	1818
Челябинск	80-100	28	1818
Челябинск	101+	40	1818
Самара	0-3	93	1818
Самара	3-7	90	1818
Самара	8-14	32	1818
Самара	15-18	60	1818
Самара	18-25	71	1818
Самара	26-35	15	1818
Самара	36-45	99	1818
Самара	46-60	47	1818
Самара	61-80	36	1818
Самара	80-100	31	1818
Самара	101+	40	1818
Омск	0-3	84	1818
Омск	3-7	91	1818
Омск	8-14	73	1818
Омск	15-18	76	1818
Омск	18-25	93	1818
Омск	26-35	97	1818
Омск	36-45	86	1818
Омск	46-60	93	1818
Омск	61-80	15	1818
Омск	80-100	72	1818
Омск	101+	91	1818
Ростов-на-Дону	0-3	98	1818
Ростов-на-Дону	3-7	91	1818
Ростов-на-Дону	8-14	57	1818
Ростов-на-Дону	15-18	71	1818
Ростов-на-Дону	18-25	27	1818
Ростов-на-Дону	26-35	15	1818
Ростов-на-Дону	36-45	12	1818
Ростов-на-Дону	46-60	36	1818
Ростов-на-Дону	61-80	65	1818
Ростов-на-Дону	80-100	47	1818
Ростов-на-Дону	101+	53	1818
Уфа	0-3	14	1818
Уфа	3-7	43	1818
Уфа	8-14	96	1818
